Year,MeanAgeMother
1920,-1
1921,-1
1922,-1
1923,-1
1924,-1
1925,-1
1926,-1
1927,-1
1928,-1
1929,-1
1930,-1
1931,-1
1932,-1
1933,-1
1934,-1
1935,-1
1936,-1
1937,-1
1938,26
1939,26
1940,26
1941,26
1942,26
1943,26
1944,26
1945,26
1946,26
1947,26
1948,26
1949,25
1950,25
1951,25
1952,25
1953,25
1954,25
1955,25
1956,25
1957,25
1958,25
1959,25
1960,25
1961,24
1962,24
1963,24
1964,24
1965,24
1966,24
1967,23
1968,23
1969,23
1970,23
1971,24
1972,24
1973,24
1974,24
1975,24
1976,24
1977,24
1978,25
1979,25
1980,25
1981,25
1982,25
1983,25
1984,25
1985,25
1986,25
1987,25
1988,25
1989,25
1990,26
1991,26
1992,26
1993,26
1994,26
1995,27
1996,27
1997,27
1998,27
1999,27
2000,27
2001,27
2002,27
2003,27
2004,28
2005,28
2006,28
2007,28
2008,28
2009,28
2010,28
2011,28
2012,28
